,sentence,neg_antonym,inference1,inference2,longerThan20,containSquare,neg_antonym_acceptable
0,By the time she was ready it was almost ten o'clock,By the time she was [not unready] it was almost ten o'clock,By the time she was [slightly ready] it was almost ten o'clock,By the time she was [damn well ready] it was almost ten o'clock,0,1,acceptable
1,It was hard to believe that a monosyllable could convey so much terror,It was [not lightly] to believe that a monosyllable could convey so much terror,It was [slightly hard] to believe that a monosyllable could convey so much terror,It was [damn well hard] to believe that a monosyllable could convey so much terror,0,1,acceptable
2,Therefore it is appropriate to start at the market portfolio and consider it in some depth,Therefore it is [not inappropriate] to start at the market portfolio and consider it in some depth,Therefore it is [slightly appropriate] to start at the market portfolio and consider it in some depth,Therefore it is [damn well appropriate] to start at the market portfolio and consider it in some depth,0,1,acceptable
3,A company showing a profit in the accounts may suddenly be unable to meet its current obligations,A company showing a profit in the accounts may suddenly be [not able] to meet its current obligations,A company showing a profit in the accounts may suddenly be [slightly unable] to meet its current obligations,A company showing a profit in the accounts may suddenly be [damn well unable] to meet its current obligations,0,1,acceptable
4,These ratios are most helpful when income is constant,These ratios are most helpful when income is [not inconstant],These ratios are most helpful when income is [slightly constant],These ratios are most helpful when income is [damn well constant],0,1,acceptable
5,The above ratios are useful in managing the company,The above ratios are [not useless] in managing the company,The above ratios are [slightly useful] in managing the company,The above ratios are [damn well useful] in managing the company,0,1,acceptable
6,I 'm afraid they 'll do that all too easily,I 'm [not unafraid] they 'll do that all too easily,I 'm [slightly afraid] they 'll do that all too easily,I 'm [damn well afraid] they 'll do that all too easily,0,1,acceptable
7,And you said her reception was friendly,And you said her reception was [not hostile],And you said her reception was [slightly friendly],And you said her reception was [damn well friendly],0,1,acceptable
8,Fama notes that this result is typical for samples consisting of 60 monthly returns,Fama notes that this result is [not atypical] for samples consisting of 60 monthly returns,Fama notes that this result is [slightly typical] for samples consisting of 60 monthly returns,Fama notes that this result is [damn well typical] for samples consisting of 60 monthly returns,0,1,acceptable
9,If the CAPM is valid then a i must not be significantly different from zero,If the CAPM is [not invalid] then a i must not be significantly different from zero,If the CAPM is [slightly valid] then a i must not be significantly different from zero,If the CAPM is [damn well valid] then a i must not be significantly different from zero,0,1,acceptable
10,The returns published in Tables 6.4 and 6.5 are inadequate without the associated measures of risk,The returns published in Tables 6.4 and 6.5 are [not adequate] without the associated measures of risk,The returns published in Tables 6.4 and 6.5 are [slightly inadequate] without the associated measures of risk,The returns published in Tables 6.4 and 6.5 are [damn well inadequate] without the associated measures of risk,0,1,acceptable
11,He noted that unit trust managements were unable to consistently outperform the market on a risk-adjusted basis,He noted that unit trust managements were [not able] to consistently outperform the market on a risk-adjusted basis,He noted that unit trust managements were [slightly unable] to consistently outperform the market on a risk-adjusted basis,He noted that unit trust managements were [damn well unable] to consistently outperform the market on a risk-adjusted basis,0,1,acceptable
12,There are still idiosyncratic factors which are specific to both industries and firms,There are still idiosyncratic factors which are [not general] to both industries and firms,There are still idiosyncratic factors which are [slightly specific] to both industries and firms,There are still idiosyncratic factors which are [damn well specific] to both industries and firms,0,1,acceptable
13,it is difficult to determine the appropriate group size for analysis and therefore,it is [not manageable] to determine the appropriate group size for analysis and therefore,it is [slightly difficult] to determine the appropriate group size for analysis and therefore,it is [damn well difficult] to determine the appropriate group size for analysis and therefore,0,1,acceptable
14,They found that they were unable to specify a unique number of determinant factors across the 7 portfolios,They found that they were [not able] to specify a unique number of determinant factors across the 7 portfolios,They found that they were [slightly unable] to specify a unique number of determinant factors across the 7 portfolios,They found that they were [damn well unable] to specify a unique number of determinant factors across the 7 portfolios,0,1,acceptable
15,Table 4.7 shows that the discounting rate used is significant in ranking investments,Table 4.7 shows that the discounting rate used is [not nonsignificant] in ranking investments,Table 4.7 shows that the discounting rate used is [slightly significant] in ranking investments,Table 4.7 shows that the discounting rate used is [damn well significant] in ranking investments,0,1,acceptable
16,The grey eyes were serious and the mouth and chin set in a stern line,The grey eyes were [not playful] and the mouth and chin set in a stern line,The grey eyes were [slightly serious] and the mouth and chin set in a stern line,The grey eyes were [damn well serious] and the mouth and chin set in a stern line,0,1,acceptable
