,TEXT_ID,PAIR_ID,CONTEXT,STIMULUS,QUESTION,INTERPRETATION1,INTERPRETATION2,TRIGGER,TYPE,INTENDED
0,0,alternative,"There was an accident. Alex said, ","""The car hit the pedestrian.""",What does the speaker intend to convey?,The car directly hit the pedestrian.,The car hit the pedestrian in some round-about way.,causal,Manner,INTERPRETATION1
1,1,utterance,"There was an accident. Alex said, ","""The car caused the collision with the pedestrian.""",What does the speaker intend to convey?,The car directly hit the pedestrian.,The car hit the pedestrian in some round-about way.,causal,Manner,INTERPRETATION2
2,2,alternative,"Alex went to a popular resturant. Alex said,","""The chef cooked the meal.""",What does the speaker intend to convey?,The chef cooked the meal directly.,The chef cooked the meal indirectly.,causal,Manner,INTERPRETATION1
3,3,utterance,"Alex went to a popular resturant. Alex said,","""The chef caused the meal to be cooked.""",What does the speaker intend to convey?,The chef cooked the meal directly.,The chef cooked the meal indirectly.,causal,Manner,INTERPRETATION2
4,4,alternative,"Alex was a resident in the hospital. Alex said,","""The doctor treated the patient.""",What does the speaker intend to convey?,The doctor treated the patient directly.,The doctor treated the patient indirectly.,causal,Manner,INTERPRETATION1
5,5,utterance,"Alex was a resident in the hospital. Alex said,","""The doctor caused the patient to receive medical attention.""",What does the speaker intend to convey?,The doctor treated the patient directly.,The doctor treated the patient indirectly.,causal,Manner,INTERPRETATION2
6,6,alternative,"Alex was a student in the school. Alex said,","""The teacher instructed the students.""",What does the speaker intend to convey?,The teacher instructed the students directly.,The teacher instructed the students indirectly.,causal,Manner,INTERPRETATION1
7,7,utterance,"Alex was a student in the school. Alex said,","""The teacher caused the students to receive instruction.""",What does the speaker intend to convey?,The teacher instructed the students directly.,The teacher instructed the students indirectly.,causal,Manner,INTERPRETATION2
8,8,alternative,"Mike was in a museum. Mike said,","""The painter painted the portrait.""",What does the speaker intend to convey?,The painter painted the portrait directly.,The painter painted the portrait indirectly.,causal,Manner,INTERPRETATION1
9,9,utterance,"Mike was in a museum. Mike said,","""The painter caused the portrait to be painted.""",What does the speaker intend to convey?,The painter painted the portrait directly.,The painter painted the portrait indirectly.,causal,Manner,INTERPRETATION2
10,10,alternative,"James was in a bookstore. James said,","""The writer wrote the book.""",What does the speaker intend to convey?,The writer wrote the book directly.,The writer wrote the book indirectly.,causal,Manner,INTERPRETATION1
11,11,utterance,"James was in a bookstore. James said,","""The writer caused the book to be written.""",What does the speaker intend to convey?,The writer wrote the book directly.,The writer wrote the book indirectly.,causal,Manner,INTERPRETATION2
12,12,alternative,"Mary was in a bar. Mary said,","""The singer performed the song.""",What does the speaker intend to convey?,The singer performed the song directly.,The singer performed the song indirectly.,causal,Manner,INTERPRETATION1
13,13,utterance,"Mary was in a bar. Mary said,","""The singer caused the song to be performed.""",What does the speaker intend to convey?,The singer performed the song directly.,The singer performed the song indirectly.,causal,Manner,INTERPRETATION2
14,14,alternative,"Patricia was in a construction site. Patricia said,","""The builder constructed the building.""",What does the speaker intend to convey?,The builder constructed the building directly.,The builder constructed the building indirectly.,causal,Manner,INTERPRETATION1
15,15,utterance,"Patricia was in a construction site. Patricia said,","""The builder caused the building to be constructed.""",What does the speaker intend to convey?,The builder constructed the building directly.,The builder constructed the building indirectly.,causal,Manner,INTERPRETATION2
16,16,alternative,"Smith was in a garden. Smith said,","""The gardener tended the plants.""",What does the speaker intend to convey?,The gardener tended the plants directly.,The gardener tended the plants indirectly.,causal,Manner,INTERPRETATION1
